quality_grade,observed_on_details.date,species_guess,public_positional_accuracy,taxon.name,geojson.coordinates,owners_identification_from_vision,identifications_count,num_identification_disagreements,location,place_guess,latitude,longitude
research,2022-04-24,Asian Lady Beetle,10.0,Harmonia axyridis,"[0.311954, 51.164379]",False,1,0,"[51.164379, 0.311954]","Pembury Walks, Pembury",51.164379,0.311954
research,2022-04-24,Asian Lady Beetle,10.0,Harmonia axyridis,"[0.311714, 51.165044]",False,1,0,"[51.165044, 0.311714]","Pembury Walks, Pembury",51.165044,0.311714
research,2022-04-16,Asian Lady Beetle,10.0,Harmonia axyridis,"[0.331132, 51.156236]",False,1,0,"[51.156236, 0.331132]","Downingbury Farm, Pembury",51.156236,0.331132
research,2022-04-09,Asian Lady Beetle,10.0,Harmonia axyridis,"[0.230599, 51.157773]",False,1,0,"[51.157773, 0.230599]","Footpath from Scriventon to Frank's Hollow Road, Speldhurst",51.157773,0.230599
research,2022-04-09,Asian Lady Beetle,10.0,Harmonia axyridis,"[0.204283, 51.156015]",False,1,0,"[51.156015, 0.204283]","Footpath from Poundsbridge to Barden Road, Poundsbridge",51.156015,0.204283
research,2022-04-09,Божья коровка-арлекин,10.0,Harmonia axyridis,"[0.177192, 51.147063]",False,1,0,"[51.147063, 0.177192]","Footpath from Fordcombe to Spring Hill, Fordcombe",51.147063,0.177192
research,2022-11-25,Harlekin-Marienkäfer,,Harmonia axyridis,"[1.078456, 52.050859]",True,1,0,"[52.050859, 1.078456]","Sproughton, Ipswich IP8 3EL, UK",52.050859,1.078456
research,2022-11-26,Harlekin-Marienkäfer,22.0,Harmonia axyridis,"[1.135510683, 51.2303489993]",True,1,0,"[51.2303489993, 1.135510683]","The Street, Canterbury, England, GB",51.2303489993,1.135510683
research,2022-11-26,Harlekin-Marienkäfer,,Harmonia axyridis,"[1.1358528333, 51.229855]",True,1,0,"[51.229855, 1.1358528333]","The Street, Canterbury, England, GB",51.229855,1.1358528333
research,2022-09-12,Harlekin-Marienkäfer,2.0,Harmonia axyridis,"[-1.9087268156, 53.2654641991]",False,1,0,"[53.2654641991, -1.9087268156]","Buxton SK17, UK",53.2654641991,-1.9087268156
research,2022-11-25,Asian Lady Beetle,2703477.0,Harmonia axyridis,"[-1.8058703095, 54.6123451704]",False,2,0,"[54.6123451704, -1.8058703095]","Cockfield, UK",54.6123451704,-1.8058703095
research,2022-11-04,Coccinelle asiatique,232.0,Harmonia axyridis,"[-1.5648086071, 49.6302566528]",False,1,0,"[49.6302566528, -1.5648086071]",Cherbourg-en-Cotentin,49.6302566528,-1.5648086071
research,2022-11-04,Harlekin-Marienkäfer,728.0,Harmonia axyridis,"[-1.5638701916, 49.6318511963]",False,1,0,"[49.6318511963, -1.5638701916]",191,49.6318511963,-1.5638701916
research,2022-11-12,Asian Lady Beetle,68.0,Harmonia axyridis,"[-4.7667575, 51.6863691]",,2,0,"[51.6863691, -4.7667575]","Pembrokeshire, Wales, GB",51.6863691,-4.7667575
research,2022-08-05,Harlekin-Marienkäfer,,Harmonia axyridis,"[-1.9186766667, 53.2693033333]",False,1,0,"[53.2693033333, -1.9186766667]","Buxton SK17, UK",53.2693033333,-1.9186766667
research,2022-06-13,Harlekin-Marienkäfer,64.0,Harmonia axyridis,"[-0.2673078303, 51.3744431701]",False,1,0,"[51.3744431701, -0.2673078303]","Worcester Park, UK",51.3744431701,-0.2673078303
research,2022-11-22,Harlekin-Marienkäfer,1.0,Harmonia axyridis,"[-0.1656759735, 51.4812815918]",True,1,0,"[51.4812815918, -0.1656759735]","Battersea Park, London, UK",51.4812815918,-0.1656759735
research,2022-11-21,Harlekin-Marienkäfer,11.0,Harmonia axyridis,"[-2.34305, 53.7570533333]",,2,0,"[53.7570533333, -2.34305]","Huncoat Ward, Accrington, England, GB",53.7570533333,-2.34305
research,2022-07-13,Harlekin-Marienkäfer,,Harmonia axyridis,"[-1.1233629722, 52.6229549722]",False,2,0,"[52.6229549722, -1.1233629722]","Leicester, UK",52.6229549722,-1.1233629722
research,2022-11-18,Harlekin-Marienkäfer,,Harmonia axyridis,"[-0.4323019361, 52.1324059917]",False,2,0,"[52.1324059917, -0.4323019361]","Bedford, Regatul Unit",52.1324059917,-0.4323019361
research,2022-11-18,Asian Lady Beetle,74.0,Harmonia axyridis,"[-5.120806396, 50.171538906]",True,2,0,"[50.171538906, -5.120806396]","Glasney Parc B, Penryn TR10 8RF, UK",50.171538906,-5.120806396
research,2022-11-18,Asian Lady Beetle,35.0,Harmonia axyridis,"[-0.957032665, 53.076717181]",True,2,0,"[53.076717181, -0.957032665]","Westgate, Southwell, England, GB",53.076717181,-0.957032665
research,2022-11-18,Asian Lady Beetle,4.0,Harmonia axyridis,"[-2.1811558586, 51.4331889712]",True,1,0,"[51.4331889712, -2.1811558586]","Corsham Court, Corsham, England, GB",51.4331889712,-2.1811558586
research,2022-11-16,Harlekin-Marienkäfer,26164.0,Harmonia axyridis,"[-1.2139884738, 51.6818880109]",True,1,0,"[51.6818880109, -1.2139884738]","Oxfordshire, England, GB",51.6818880109,-1.2139884738
research,2022-11-16,Harlekin-Marienkäfer,,Harmonia axyridis,"[0.1086972222, 52.1974805556]",False,1,0,"[52.1974805556, 0.1086972222]","Cambridge CB3 9BT, UK",52.1974805556,0.1086972222
research,2022-11-15,Harlekin-Marienkäfer,45.0,Harmonia axyridis,"[-4.1370354965, 50.9427353443]",False,2,0,"[50.9427353443, -4.1370354965]","RHS Garden Rosemoor, Torrington EX38 8PH, UK",50.9427353443,-4.1370354965
research,2022-11-15,Asian Lady Beetle,21.0,Harmonia axyridis,"[-1.6940533333, 55.1603388333]",True,2,0,"[55.1603388333, -1.6940533333]","St Mary's Field, Morpeth, England, GB",55.1603388333,-1.6940533333
research,2022-11-15,Asian Lady Beetle,8.0,Harmonia axyridis,"[-0.17637751, 50.84608316]",True,2,0,"[50.84608316, -0.17637751]","Hove, UK",50.84608316,-0.17637751
research,2022-10-27,Harlekin-Marienkäfer,1271.0,Harmonia axyridis,"[-1.9100007042, 53.3227565086]",True,2,0,"[53.3227565086, -1.9100007042]","Chapel-en-le-Frith, High Peak SK23 0HW, UK",53.3227565086,-1.9100007042
research,2022-11-13,Harlekin-Marienkäfer,158.0,Harmonia axyridis,"[-3.0035829172, 51.5781419595]",False,1,0,"[51.5781419595, -3.0035829172]","Stow Hill, Newport NP20, UK",51.5781419595,-3.0035829172
research,2022-11-13,Harlekin-Marienkäfer,,Harmonia axyridis,"[-2.9723958333, 53.6520786111]",True,1,0,"[53.6520786111, -2.9723958333]","Southport, UK",53.6520786111,-2.9723958333
research,2022-11-13,Harlekin-Marienkäfer,400.0,Harmonia axyridis,"[-4.270420031, 55.831227997]",False,1,0,"[55.831227997, -4.270420031]","Glasgow, UK",55.831227997,-4.270420031
research,2022-11-13,Asian Lady Beetle,,Harmonia axyridis,"[-0.535792, 50.8740859722]",False,1,0,"[50.8740859722, -0.535792]","Burpham, Arundel BN18 9RW, UK",50.8740859722,-0.535792
research,2022-11-11,Asian Lady Beetle,31.0,Harmonia axyridis,"[-2.9207488766, 51.3531072513]",True,1,0,"[51.3531072513, -2.9207488766]","Weston-super-Mare, UK",51.3531072513,-2.9207488766
research,2022-11-13,Божья коровка-арлекин,7.0,Harmonia axyridis,"[-3.1983883333, 54.1371028333]",True,1,0,"[54.1371028333, -3.1983883333]","Abbey Approach, Barrow-In-Furness, England, GB",54.1371028333,-3.1983883333
research,2022-11-13,Asian Lady Beetle,8.0,Harmonia axyridis,"[-4.14615128, 50.3746387389]",True,4,1,"[50.3746387389, -4.14615128]","Oxford Terrace, Plymouth, England, GB",50.3746387389,-4.14615128
research,2022-11-13,Harlekin-Marienkäfer,1000.0,Harmonia axyridis,"[-3.3338061, 55.9380145]",False,1,0,"[55.9380145, -3.3338061]","Edinburgh EH12, UK",55.9380145,-3.3338061
research,2022-11-13,Harlekin-Marienkäfer,4.0,Harmonia axyridis,"[-1.6471883333, 55.1935116667]",True,1,0,"[55.1935116667, -1.6471883333]","Butcher's Lane, Morpeth, England, GB",55.1935116667,-1.6471883333
research,2018-10-16,Harlekin-Marienkäfer,979.0,Harmonia axyridis,"[-0.2978046333, 51.4756432681]",True,1,0,"[51.4756432681, -0.2978046333]","Richmond, Storbritannien",51.4756432681,-0.2978046333
research,2022-11-12,Harlekin-Marienkäfer,10.0,Harmonia axyridis,"[-1.0713876108, 50.8170670246]",,2,0,"[50.8170670246, -1.0713876108]","Portsea Island, Portsmouth, England, GB",50.8170670246,-1.0713876108
research,2022-11-12,Harlekin-Marienkäfer,45.0,Harmonia axyridis,"[-5.0600187794, 50.1634115948]",True,2,0,"[50.1634115948, -5.0600187794]","Cornwall AONB, Falmouth, England, GB",50.1634115948,-5.0600187794
research,2022-06-15,Asian Lady Beetle,15.0,Harmonia axyridis,"[-0.2799941227, 53.7717755587]",False,1,0,"[53.7717755587, -0.2799941227]","Hull HU8, UK",53.7717755587,-0.2799941227
research,2022-11-04,Asian Lady Beetle,23.0,Harmonia axyridis,"[-3.0918097529, 53.1667101491]",False,2,0,"[53.1667101491, -3.0918097529]","Nant Mawr Road, Mold, Wales, GB",53.1667101491,-3.0918097529
research,2022-11-12,Harlekin-Marienkäfer,800.0,Harmonia axyridis,"[-3.2060828, 55.9490658]",False,1,0,"[55.9490658, -3.2060828]","Lothian Road (Stop XE), Edinburgh EH1 2EP, UK",55.9490658,-3.2060828
research,2022-11-12,Asian Lady Beetle,,Harmonia axyridis,"[-0.07725, 51.5641666667]",False,1,0,"[51.5641666667, -0.07725]","Stoke Newington, London, UK",51.5641666667,-0.07725
research,2022-11-12,Asian Lady Beetle,34.0,Harmonia axyridis,"[-1.6725616667, 55.1539195]",True,1,0,"[55.1539195, -1.6725616667]","Eglingham Way, Morpeth, England, GB",55.1539195,-1.6725616667
research,2022-10-29,Asian Lady Beetle,,Harmonia axyridis,"[-2.8625528889, 51.4334296944]",False,4,1,"[51.4334296944, -2.8625528889]","Clevedon, UK",51.4334296944,-2.8625528889
research,2022-11-11,Harlekin-Marienkäfer,147.0,Harmonia axyridis,"[-0.1791403677, 51.5193129584]",False,2,0,"[51.5193129584, -0.1791403677]","Sheldon Sq, London, England, GB",51.5193129584,-0.1791403677
research,2022-11-11,Asian Lady Beetle,10.0,Harmonia axyridis,"[-3.1739164385, 55.9569308675]",True,2,0,"[55.9569308675, -3.1739164385]","Edinburgh, UK",55.9569308675,-3.1739164385
research,2022-11-11,Asian Lady Beetle,10.0,Harmonia axyridis,"[-3.1738567607, 55.9569298887]",True,2,0,"[55.9569298887, -3.1738567607]","Edinburgh, UK",55.9569298887,-3.1738567607
research,2022-04-15,Asian Lady Beetle,,Harmonia axyridis,"[-0.0870144444, 51.5933755556]",True,1,0,"[51.5933755556, -0.0870144444]","London N17, UK",51.5933755556,-0.0870144444
research,2022-11-11,Asian Lady Beetle,,Harmonia axyridis,"[0.05358, 51.643024]",False,1,0,"[51.643024, 0.05358]","Essex, England, GB",51.643024,0.05358
research,2022-11-10,Harmonia axyridis,2.0,Harmonia axyridis,"[-3.0973308107, 53.5570460885]",True,1,0,"[53.5570460885, -3.0973308107]","Formby Point, Formby, Liverpool, Merseyside, UK",53.5570460885,-3.0973308107
research,2022-11-10,Harmonia axyridis,2.0,Harmonia axyridis,"[-3.0977330707, 53.5568543324]",True,1,0,"[53.5568543324, -3.0977330707]","Formby Point, Formby, Liverpool, Merseyside, UK",53.5568543324,-3.0977330707
research,2022-11-11,Harlekin-Marienkäfer,9.0,Harmonia axyridis,"[-2.7797933333, 51.1531816667]",False,4,1,"[51.1531816667, -2.7797933333]","Street BA16 9SB, UK",51.1531816667,-2.7797933333
research,2022-11-09,Harmonia axyridis,1.0,Harmonia axyridis,"[-2.936467342, 53.3893528394]",True,2,0,"[53.3893528394, -2.936467342]","St Agnes Field, Croxteth Drive, Toxteth, Liverpool, Merseyside, UK",53.3893528394,-2.936467342
research,2022-11-11,Asian Lady Beetle,,Harmonia axyridis,"[-1.4297802667, 55.0163592861]",True,1,0,"[55.0163592861, -1.4297802667]","Tynemouth, UK",55.0163592861,-1.4297802667
research,2022-11-10,Harlequin Ladybird,174.0,Harmonia axyridis,"[-2.8869373351, 53.3946892174]",,2,0,"[53.3946892174, -2.8869373351]","Liverpool L16, UK",53.3946892174,-2.8869373351
research,2022-11-10,Asian Lady Beetle,104.0,Harmonia axyridis,"[-3.2479235, 55.9203873]",True,1,0,"[55.9203873, -3.2479235]","EH14, UK",55.9203873,-3.2479235
research,2022-11-10,Asian Lady Beetle,400.0,Harmonia axyridis,"[-3.2498593, 55.9193518]",True,1,0,"[55.9193518, -3.2498593]","EH14, UK",55.9193518,-3.2498593
research,2022-11-07,Asian Lady Beetle,25.0,Harmonia axyridis,"[-3.2456708, 55.9340437]",True,1,0,"[55.9340437, -3.2456708]","Edinburgh EH11, UK",55.9340437,-3.2456708
research,2022-11-10,Asian Lady Beetle,8.0,Harmonia axyridis,"[0.1307807749, 52.209078155]",,2,0,"[52.209078155, 0.1307807749]","Central Cambridge, Cambridge, UK",52.209078155,0.1307807749
research,2021-06-03,Asian Lady Beetle,3.0,Harmonia axyridis,"[-0.5340682645, 51.3317896164]",False,1,0,"[51.3317896164, -0.5340682645]","Woking, UK",51.3317896164,-0.5340682645
research,2022-11-09,Harlekin-Marienkäfer,5.0,Harmonia axyridis,"[-6.2355666667, 53.3117416667]",True,1,0,"[53.3117416667, -6.2355666667]","University College Dublin, Dublin 14, Co. Dublin, IE",53.3117416667,-6.2355666667
research,2021-10-27,Harlekin-Marienkäfer,8057.0,Harmonia axyridis,"[-1.5089521185, 52.4127863893]",False,1,0,"[52.4127863893, -1.5089521185]",Coventry,52.4127863893,-1.5089521185
research,2022-11-07,Божья коровка-арлекин,19.0,Harmonia axyridis,"[-1.4730075002, 55.083490301]",False,5,1,"[55.083490301, -1.4730075002]","Seaton Sluice, Whitley Bay, UK",55.083490301,-1.4730075002
research,2022-11-08,Harlekin-Marienkäfer,,Harmonia axyridis,"[-2.6962069722, 52.1247559722]",True,1,0,"[52.1247559722, -2.6962069722]","Marden, Hereford, UK",52.1247559722,-2.6962069722
research,2022-11-07,Asian Lady Beetle,4.0,Harmonia axyridis,"[-2.586475, 51.4729783333]",False,1,0,"[51.4729783333, -2.586475]","St Andrews Park, Bristol, England, GB",51.4729783333,-2.586475
research,2022-11-05,Harlekin-Marienkäfer,24.0,Harmonia axyridis,"[-8.309095, 51.8899216667]",True,1,0,"[51.8899216667, -8.309095]","Fota Wildlife Park, Cobh, Co. Cork, IE",51.8899216667,-8.309095
research,2022-11-05,Harlekin-Marienkäfer,6.0,Harmonia axyridis,"[-8.3098333333, 51.8896966667]",False,1,0,"[51.8896966667, -8.3098333333]","Fota Wildlife Park, Cobh, Co. Cork, IE",51.8896966667,-8.3098333333
research,2022-11-05,Harlekin-Marienkäfer,6.0,Harmonia axyridis,"[-8.3097783333, 51.889705]",False,2,0,"[51.889705, -8.3097783333]","Fota Wildlife Park, Cobh, Co. Cork, IE",51.889705,-8.3097783333
research,2022-11-05,Harlekin-Marienkäfer,8.0,Harmonia axyridis,"[-8.3100616667, 51.8896666667]",True,1,0,"[51.8896666667, -8.3100616667]","Fota Wildlife Park, Cobh, Co. Cork, IE",51.8896666667,-8.3100616667
research,2022-11-05,Harlekin-Marienkäfer,8.0,Harmonia axyridis,"[-8.3100533333, 51.889825]",True,1,0,"[51.889825, -8.3100533333]","Fota Wildlife Park, Cobh, Co. Cork, IE",51.889825,-8.3100533333
research,2022-11-05,Harlekin-Marienkäfer,117.0,Harmonia axyridis,"[-8.3122466667, 51.890505]",False,1,0,"[51.890505, -8.3122466667]","Fota Wildlife Park, Cobh, Co. Cork, IE",51.890505,-8.3122466667
research,2022-10-19,Harlekin-Marienkäfer,,Harmonia axyridis,"[-2.65924847, 53.62487731]",True,1,0,"[53.62487731, -2.65924847]","Station Road, Coppull, Chorley PR7 4PZ, UK",53.62487731,-2.65924847
research,2022-10-28,Asian Lady Beetle,,Harmonia axyridis,"[-3.0338466167, 53.6028367281]",True,4,1,"[53.6028367281, -3.0338466167]","Ainsdale, Southport PR8, UK",53.6028367281,-3.0338466167
research,2022-11-07,Asian Lady Beetle,35.0,Harmonia axyridis,"[-3.1982636824, 55.966728935]",False,1,0,"[55.966728935, -3.1982636824]","Edinburgh EH3, UK",55.966728935,-3.1982636824
research,2022-11-07,Harlekin-Marienkäfer,20.0,Harmonia axyridis,"[1.2311466783, 52.0400657064]",False,2,0,"[52.0400657064, 1.2311466783]","Ipswich IP10 0AD, UK",52.0400657064,1.2311466783
research,2022-11-07,Asian Lady Beetle,66.0,Harmonia axyridis,"[-3.1980933622, 55.9687787191]",False,1,0,"[55.9687787191, -3.1980933622]","Edinburgh EH3, UK",55.9687787191,-3.1980933622
research,2022-11-07,Harlekin-Marienkäfer,92.0,Harmonia axyridis,"[-1.3590449095, 50.8953018188]",True,2,0,"[50.8953018188, -1.3590449095]",Southampton,50.8953018188,-1.3590449095
research,2022-05-08,Asian Lady Beetle,3.0,Harmonia axyridis,"[-0.1608651504, 51.4801087835]",True,1,0,"[51.4801087835, -0.1608651504]","Battersea Park, London, UK",51.4801087835,-0.1608651504
research,2022-11-05,Божья коровка-арлекин,26004.0,Harmonia axyridis,"[1.0808247805, 52.7843988827]",True,1,0,"[52.7843988827, 1.0808247805]","Norfolk, England, GB",52.7843988827,1.0808247805
research,2022-11-04,Harlekin-Marienkäfer,,Harmonia axyridis,"[-0.5672989722, 51.4036559722]",True,1,0,"[51.4036559722, -0.5672989722]","Virginia Water, UK",51.4036559722,-0.5672989722
research,2022-11-04,Asian Lady Beetle,23.0,Harmonia axyridis,"[-0.1868021116, 51.5034649899]",False,1,0,"[51.5034649899, -0.1868021116]","London W8 4RE, UK",51.5034649899,-0.1868021116
research,2022-11-03,Asian Lady Beetle,24.0,Harmonia axyridis,"[-3.2703272, 55.9439619]",True,2,0,"[55.9439619, -3.2703272]","Corstorphine, Edinburgh EH12, UK",55.9439619,-3.2703272
research,2022-11-03,Asian Lady Beetle,,Harmonia axyridis,"[-1.7250429, 52.7307239]",False,2,0,"[52.7307239, -1.7250429]","Staffordshire, England, GB",52.7307239,-1.7250429
research,2022-11-02,Harlekin-Marienkäfer,4.0,Harmonia axyridis,"[-5.1059583333, 50.16738]",True,1,0,"[50.16738, -5.1059583333]","Saracen Way, Penryn, England, GB",50.16738,-5.1059583333
research,2022-11-02,Asian Lady Beetle,4.0,Harmonia axyridis,"[-5.1057916667, 50.16737]",True,1,0,"[50.16737, -5.1057916667]","Saracen Way, Penryn, England, GB",50.16737,-5.1057916667
research,2022-11-02,Asian Lady Beetle,5.0,Harmonia axyridis,"[-5.1058361667, 50.1673666667]",True,1,0,"[50.1673666667, -5.1058361667]","Saracen Way, Penryn, England, GB",50.1673666667,-5.1058361667
research,2022-11-02,Harlekin-Marienkäfer,754.0,Harmonia axyridis,"[-2.7623097675, 53.4631912468]",False,3,0,"[53.4631912468, -2.7623097675]","St George's Ave, St Helens, England, GB",53.4631912468,-2.7623097675
research,2022-11-02,Asian Lady Beetle,149.0,Harmonia axyridis,"[-2.7627029201, 53.4626488873]",False,2,0,"[53.4626488873, -2.7627029201]","St George's Ave, St Helens, England, GB",53.4626488873,-2.7627029201
research,2022-05-23,Harlekin-Marienkäfer,177.0,Harmonia axyridis,"[-3.2190155983, 51.5082320387]",False,1,0,"[51.5082320387, -3.2190155983]","Whitchurch, Cardiff, UK",51.5082320387,-3.2190155983
research,2022-11-01,Harlekin-Marienkäfer,22.0,Harmonia axyridis,"[-1.5576659037, 54.8566120005]",False,1,0,"[54.8566120005, -1.5576659037]","Little Lumley, Chester Le Street, England, GB",54.8566120005,-1.5576659037
research,2022-10-31,Harmonia axyridis,1.0,Harmonia axyridis,"[-2.8071639324, 53.426222099]",True,1,0,"[53.426222099, -2.8071639324]","Prescot Cemetery, Manchester Road, Prescot, Liverpool, Merseyside, UK",53.426222099,-2.8071639324
research,2022-10-31,Acer pseudoplatanus,1.0,Acer pseudoplatanus,"[-2.8068159711, 53.4276979492]",True,1,0,"[53.4276979492, -2.8068159711]","Prescot Cemetery, Manchester Road, Prescot, Liverpool, Merseyside, UK",53.4276979492,-2.8068159711
research,2022-10-30,Harlekin-Marienkäfer,8057.0,Harmonia axyridis,"[-1.5089521185, 52.4127863893]",False,1,0,"[52.4127863893, -1.5089521185]",Coventry,52.4127863893,-1.5089521185
research,2018-08-17,Asian Lady Beetle,31.0,Harmonia axyridis,"[-3.4751673693, 51.066224189]",True,1,0,"[51.066224189, -3.4751673693]","Somerset, UK",51.066224189,-3.4751673693
research,2022-10-31,Harmonia axyridis,1.0,Harmonia axyridis,"[-2.8072751608, 53.4271609512]",True,2,0,"[53.4271609512, -2.8072751608]","Prescot Cemetery, Manchester Road, Prescot, Liverpool, Merseyside, UK",53.4271609512,-2.8072751608
research,2022-10-31,Harmonia axyridis,1.0,Harmonia axyridis,"[-2.8075132547, 53.4270684765]",True,2,0,"[53.4270684765, -2.8075132547]","Prescot Cemetery, Manchester Road, Prescot, Liverpool, Merseyside, UK",53.4270684765,-2.8075132547
research,2022-10-31,Harmonia axyridis,1.0,Harmonia axyridis,"[-2.8083546628, 53.4274474104]",True,1,0,"[53.4274474104, -2.8083546628]","Prescot Cemetery, Manchester Road, Prescot, Liverpool, Merseyside, UK",53.4274474104,-2.8083546628
research,2022-10-31,Harmonia axyridis,1.0,Harmonia axyridis,"[-2.8084269578, 53.4274755858]",True,1,0,"[53.4274755858, -2.8084269578]","Prescot Cemetery, Manchester Road, Prescot, Liverpool, Merseyside, UK",53.4274755858,-2.8084269578
research,2022-10-31,Harmonia axyridis,1.0,Harmonia axyridis,"[-2.8091056971, 53.4276565747]",True,1,0,"[53.4276565747, -2.8091056971]","Prescot Cemetery, Manchester Road, Prescot, Liverpool, Merseyside, UK",53.4276565747,-2.8091056971
research,2022-10-31,Asian Lady Beetle,,Harmonia axyridis,"[0.1249471667, 52.19325]",True,1,0,"[52.19325, 0.1249471667]","Cambridge University Botanic Garden, Cambridge, England, GB",52.19325,0.1249471667
research,2022-10-31,Harmonia axyridis,2.0,Harmonia axyridis,"[-2.8083684088, 53.4274372391]",True,1,0,"[53.4274372391, -2.8083684088]","Prescot Cemetery. Manchester Road, Prescot, Merseyside, UK",53.4274372391,-2.8083684088
research,2022-10-30,Asian Lady Beetle,15.0,Harmonia axyridis,"[-0.1205166827, 51.5822805616]",True,1,0,"[51.5822805616, -0.1205166827]","Elmfield rd London, UK",51.5822805616,-0.1205166827
research,2022-10-31,Asian Lady Beetle,4.0,Harmonia axyridis,"[-3.007725, 54.9290583333]",False,3,0,"[54.9290583333, -3.007725]","Kingmoor House, Carlisle, England, GB",54.9290583333,-3.007725
research,2022-10-31,Harlekin-Marienkäfer,119.0,Harmonia axyridis,"[-0.0955115122, 51.5199359287]",False,2,0,"[51.5199359287, -0.0955115122]","Beech St, London, England, GB",51.5199359287,-0.0955115122
research,2022-10-29,Harlekin-Marienkäfer,21.0,Harmonia axyridis,"[-3.0464649815, 53.2548936404]",True,1,0,"[53.2548936404, -3.0464649815]","Cheshire West and Chester, UK",53.2548936404,-3.0464649815
research,2022-10-30,Harlekin-Marienkäfer,10.0,Harmonia axyridis,"[-2.127925, 52.593375]",False,1,0,"[52.593375, -2.127925]","North Road, Wolverhampton, England, GB",52.593375,-2.127925
research,2022-10-30,Harlekin-Marienkäfer,2.0,Harmonia axyridis,"[-0.7861918602, 53.1360764806]",True,1,0,"[53.1360764806, -0.7861918602]","RSPB Langford Lowfields, Nottinghamshire, UK",53.1360764806,-0.7861918602
research,2022-10-29,Harlekin-Marienkäfer,101.0,Harmonia axyridis,"[-2.1397206, 52.589596]",,2,0,"[52.589596, -2.1397206]","76 Park Rd W, Wolverhampton WV1 4PH, UK",52.589596,-2.1397206
research,2022-10-29,Harlekin-Marienkäfer,101.0,Harmonia axyridis,"[-2.1397206, 52.589596]",,2,0,"[52.589596, -2.1397206]","76 Park Rd W, Wolverhampton WV1 4PH, UK",52.589596,-2.1397206
research,2022-10-30,Asian Lady Beetle,25.0,Harmonia axyridis,"[-3.2823023, 55.9409588]",,3,0,"[55.9409588, -3.2823023]","Corstorphine, Edinburgh EH12 7HF, UK",55.9409588,-3.2823023
research,2022-10-29,Harlekin-Marienkäfer,26325.0,Harmonia axyridis,"[-3.0109116536, 50.6744026398]",True,2,0,"[50.6744026398, -3.0109116536]","England, GB",50.6744026398,-3.0109116536
research,2022-10-30,Asian Lady Beetle,6.0,Harmonia axyridis,"[-1.1857217923, 52.9469758824]",True,1,0,"[52.9469758824, -1.1857217923]","Gatehouse Lodge, Lenton, Nottingham, UK",52.9469758824,-1.1857217923
